image	sentence_id	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang	bem_transcription	en_translation
100_0	1	3720376242.jpg	"100_0_01_210929-011719_bem_72c_elicit_0.wav
"	11	male	8.53	16000	vnd.wave	bem	bem	Ibumba lyabashitata nabeminina mumbali mumusebo	A group of men is standing on the roadside.
100_1	2	3720376242.jpg	"100_1_02_210929-011803_bem_81c_elicit_0.wav
"	12	male	13.862	16000	vnd.wave	bem	bem	Ninshi bashitata aba bonse bakolonganina pamo mumusango wa waso? bushe finshi balelolela olo finshi balelweisho kucita?	Why are all these men gathered in such a way? What are they waiting for or what are they trying to do?
100_2	1	3720376242.jpg	"100_2_01_210929-011719_bem_72c_elicit_1.wav
"	11	male	10.663	16000	vnd.wave	bem	bem	aba bashitata balelolela ukuculuka umusebo, balelolela imyotoka shipite	They are waiting to cross the road, they are waiting fo the vehicles to pass.
100_3	2	3720376242.jpg	"100_3_02_210929-011803_bem_81c_elicit_1.wav
"	12	male	15.2	16000	vnd.wave	bem	bem	Nomba bambi bashitata tabalemoneka nokupoosa amano kumusebo balemoneka fye nabena balifye mucalo fye icabo, bushe nibonse abalefwayo kulwisho abalelwisho ukuculuka umusebo uyu?	They do not seem to be paying attention to what's happening, they seem to be focused on something else, are they all trying to cross the road?
100_4	1	3720376242.jpg	"100_4_01_210929-011719_bem_72c_elicit_2.wav
"	11	male	17.061	16000	vnd.wave	bem	bem	Endita, bonse balelwisho kuculuka, aba bambi abalemoneka abashipooseleko amano balelolesha uko balaiminikila imyotoka ishakubasenda	Yes, they are all trying to cross the road, the ones that do not seem to be paying attention are just trying to see where they can get vehicles to get on.
101_0	1	1390654687.jpg	"101_0_01_210929-120904_bem_81c_elicit_0.wav
"	11	male	6.307	16000	vnd.wave	bem	bem	shikulubantu alelya mukabale kabuuta	A man is eating from a white plate.
101_1	2	1390654687.jpg	"101_1_02_210929-121242_bem_b21_elicit_0.wav
"	12	male	11.116	16000	vnd.wave	bem	bmb	shikulubantu wine alemoneka napoosa amano uko alelolesha, bushe ninshi cingalenga apoose so amano uko alelolesha?	This man seems to be focused on where he is looking, why is he this focused?
101_2	1	1390654687.jpg	"101_2_01_210929-120904_bem_81c_elicit_1.wav
"	11	male	9.256	16000	vnd.wave	bem	bem	Ali na bantu abo ekele nankwe pacipuna ebo alelanda nabo eko alelolesha 	He is sited with some people on the chairs, they are ones he is looking at.
101_3	2	1390654687.jpg	"101_3_02_210929-121242_bem_b21_elicit_1.wav
"	12	male	10.867	16000	vnd.wave	bem	bmb	Ngako akalemoneka akabuuta akeminine pambale iilemoneka apo kumbali yakashikulu?	What is that white thing standing on the plate that is beside him?
101_4	1	1390654687.jpg	"101_4_01_210929-120904_bem_81c_elicit_2.wav
"	11	male	9.823	16000	vnd.wave	bem	bem	Ni kendo nga malaiti yaya eyo basanika ukukwato lubuuto	It is a candle that they lit up when there is power, they use it for light.
