image,image_id,speaker_id,gender,duration,sample_rate,audio_format,recording_lang,native_lang,bem_transcription,eng_translation
100_0,3720376242.jpg,11,male,8.53,16000,vnd.wave,bem,bem,Ibumba lyabashitata nabeminina mumbali mumusebo,A group of men is standing on the roadside.
100_1,3720376242.jpg,12,male,13.862,16000,vnd.wave,bem,bem,Ninshi bashitata aba bonse bakolonganina pamo mumusango wa waso? bushe finshi balelolela olo finshi balelweisho kucita?,Why are all these men gathered in such a way? What are they waiting for or what are they trying to do?
100_2,3720376242.jpg,11,male,10.663,16000,vnd.wave,bem,bem,"aba bashitata balelolela ukuculuka umusebo, balelolela imyotoka shipite","They are waiting to cross the road, they are waiting fo the vehicles to pass."
100_3,3720376242.jpg,12,male,15.2,16000,vnd.wave,bem,bem,"Nomba bambi bashitata tabalemoneka nokupoosa amano kumusebo balemoneka fye nabena balifye mucalo fye icabo, bushe nibonse abalefwayo kulwisho abalelwisho ukuculuka umusebo uyu?","They do not seem to be paying attention to what's happening, they seem to be focused on something else, are they all trying to cross the road?"
100_4,3720376242.jpg,11,male,17.061,16000,vnd.wave,bem,bem,"Endita, bonse balelwisho kuculuka, aba bambi abalemoneka abashipooseleko amano balelolesha uko balaiminikila imyotoka ishakubasenda","Yes, they are all trying to cross the road, the ones that do not seem to be paying attention are just trying to see where they can get vehicles to get on."
101_0,1390654687.jpg,11,male,6.307,16000,vnd.wave,bem,bem,shikulubantu alelya mukabale kabuuta,A man is eating from a white plate.
101_1,1390654687.jpg,12,male,11.116,16000,vnd.wave,bem,bmb,"shikulubantu wine alemoneka napoosa amano uko alelolesha, bushe ninshi cingalenga apoose so amano uko alelolesha?","This man seems to be focused on where he is looking, why is he this focused?"
101_2,1390654687.jpg,11,male,9.256,16000,vnd.wave,bem,bem,Ali na bantu abo ekele nankwe pacipuna ebo alelanda nabo eko alelolesha ,"He is sited with some people on the chairs, they are ones he is looking at."
101_3,1390654687.jpg,12,male,10.867,16000,vnd.wave,bem,bmb,Ngako akalemoneka akabuuta akeminine pambale iilemoneka apo kumbali yakashikulu?,What is that white thing standing on the plate that is beside him?
101_4,1390654687.jpg,11,male,9.823,16000,vnd.wave,bem,bem,Ni kendo nga malaiti yaya eyo basanika ukukwato lubuuto,"It is a candle that they lit up when there is power, they use it for light."
102_0,162161519.jpg,11,male,4.378,16000,vnd.wave,bem,bem,Bawishi no mwana baleangala mumenshi,A father and a child are playing in water.
102_1,162161519.jpg,12,male,8.144,16000,vnd.wave,bem,bmb,"Bawishi no mwana bene balemoneka aba nsansa sana, bushe kuti caba ati nabomfwa bwino ukula-angala mumenshi aya?","They both seem very happy, could it be because they are playing in water?"
102_2,162161519.jpg,11,male,12.909,16000,vnd.wave,bem,bem,"Ee, kuti caba icansansa, balemoneka aba nsansa pamulandu wakweba ti umwana balemufunda ukusamba","It could be so, they seem happy because the father is teaching the child to swim."
102_3,162161519.jpg,12,male,11.343,16000,vnd.wave,bem,bmb,"Ninshi umwana wine afwalile ici ico afwele kumuulu, bushe nacikwate ncito cilebomba olo afwele fye?","Why is the child wearing that thing on top, is there any reason or is he just dressed like that?"
102_4,162161519.jpg,11,male,8.938,16000,vnd.wave,bem,bem,"Nacikwate ncito eyo cilebomba, cilemwafwa ukukana nwena mumenshi","There is reason, it is helping the child not to drown."
103_0,50194396.jpg,11,male,4.242,16000,vnd.wave,bem,bem,Umwana naime baaka mumuulu,The child has jumped so high up.
103_1,50194396.jpg,12,male,13.884,16000,vnd.wave,bem,bmb,"Kuli abana nabambi abali kunuma ya uyu mwana uwimine baaka balemoneka nabapoosa sana amano kufyo balecita pafyo baletinika, bushe nifinshi bale-angasha?","They are other kids behind this child that has jumped, they seem to be focused on what they are pressing, what are they playing with?"
103_2,50194396.jpg,11,male,13.408,16000,vnd.wave,bem,bem,"Bale-angasha, umo ali necibotolo ico alenwamo amenshi, umubiye aletamba ifikope pali lamya","They are playing, one with a bottle and drinking water while the other one is watching something on phone."
103_3,50194396.jpg,12,male,11.366,16000,vnd.wave,bem,bmb,Nga uyu umbi uusendeme panshi? bushe ninshi asendemene panshi so? bushe cinshi cingalenga?,What of the other one lying down? Why he is lying down? Could there be a reason?
103_4,50194396.jpg,11,male,10.663,16000,vnd.wave,bem,bem,"Aletuusha, acifuma mukutoloka naena elo lyena ati asendameko atuusheko","He is resting, he is also from jumping so he wants to rest."
104_0,4958945147.jpg,11,male,8.78,16000,vnd.wave,bem,bem,Shikulubantu naikala pamupando wa mwinshi pengilile myotoka,A man is siting in front of an entrance of a garage.
104_1,4958945147.jpg,12,male,9.369,16000,vnd.wave,bem,bmb,"Ngechi cimbayambaya cili kunuma yakwe, cilemoneka kwati cilabombe ncito iikankala sana, bushe ca nshi?","What about the vehicle behind him, it seems to do important work, what does it do?"
104_2,4958945147.jpg,11,male,12.092,16000,vnd.wave,bem,bem,"ici cimbayambaya cili kunuma yakwe, cibomba ukutapilila amenshi ku fikuulwa ifilepya nomulilo",This vehicle is a fire fighting truck.
104_3,4958945147.jpg,12,male,9.46,16000,vnd.wave,bem,bmb,So ninshi uyu shikulu wikele pantashi apa eucenshe ici cimotoka? Eubomba incito yakushimyo mulilo?,Is he this man the one that drives it? Is he a fire fighter?
104_4,4958945147.jpg,11,male,11.706,16000,vnd.wave,bem,bem,"Endita e, eubombo ukucensha, alabomba nababiye elo balafwa-ana","Yes, ofcourse he is the one, he has some colleagues that help him."
105_0,128396207.jpg,11,male,5.649,16000,vnd.wave,bem,bem,Umuntu ali pancinga ale-ensha mumusebo,A person is on his bike riding it on the road.
105_1,128396207.jpg,12,male,12.863,16000,vnd.wave,bem,bmb,"incinga ine iyi naibutusha sana umulumendo yu, alecilika na motoka, elo ninshi motoka ilabuutuka ukucila incinga, bushe nikwisa alelola uko alebutukila?","He is riding it so fast,faster than a vehicle, even though vehicles are faster,where is he rushing to?"
105_2,128396207.jpg,11,male,9.392,16000,vnd.wave,bem,bem,"Talebukila ukuli konse, ale-ensha fye, ukwenda uko aleya","He is not rushing anywhere, he is just riding to wherever he is going."
105_3,128396207.jpg,12,male,9.143,16000,vnd.wave,bem,bmb,Ngeci cimpompo afwele ku mutwe? bushe nacikwate ncito iyo cilembomba olo acifwele fye pantu nacitemwa? ,"What of the helmet of his head, is there a reason for wearing it or he just likes it?"
105_4,128396207.jpg,11,male,8.78,16000,vnd.wave,bem,bem,"Nakalya, tafwalile ati nacitemwa, acifwalile ukumucingilila kumasanso nga apona!","No, he does not just like it, it is meant to protect him incase he falls."
106_0,4393476043.jpg,11,male,8.938,16000,vnd.wave,bem,bem,Ulupwa nalwikala nembwa pacipuna,A family is sited with a dog on a couch.
106_1,4393476043.jpg,12,male,15.246,16000,vnd.wave,bem,bmb,"Ulupwa lwine luli ulwalingana, bawishi, banyina, umwana umwanakashi elyo no umwana umwaume nomba bushe imbwa nasho ishi pali iyanakashi neyaumme?","This is a complete family, the father, the mother, a girl child and a boy, are the dogs also male and female?"
106_2,4393476043.jpg,11,male,6.375,16000,vnd.wave,bem,bem,"Kuti caba, kuti pabe ya iikota ne lume",It could be so.
106_3,4393476043.jpg,12,male,9.506,16000,vnd.wave,bem,bmb,Nomba ninshi amenso ya mbwa yalemonekela aya aka kwati li liti?,But why are the dog eyes as bright as light?
106_4,4393476043.jpg,11,male,8.938,16000,vnd.wave,bem,bem,Ico yalemonekela aya aka ca kweba ukuti kuntanshi kwaleba uwalebakopa,They are this bright because there is someone capturing them in front.
107_0,6563243819.jpg,11,male,8.78,16000,vnd.wave,bem,bem,Ibumba lya bana mayo na bashi tata lili kuntanshi ya bantu,A group of men and women are standing in front of people.
107_1,6563243819.jpg,12,male,7.373,16000,vnd.wave,bem,bmb,Bushe ninshi beminine kuntanshi ya bantu mu musango wa so?,Why are they standing in front of people in this way?
