image	image_id	audio_id	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang
100_0	3720376242.jpg	"100_0_01_210929-011719_bem_72c_elicit_0.wav
"	11	male	8.53	16000	vnd.wave	bem	bem
100_1	3720376242.jpg	"100_1_02_210929-011803_bem_81c_elicit_0.wav
"	12	male	13.862	16000	vnd.wave	bem	bem
100_2	3720376242.jpg	"100_2_01_210929-011719_bem_72c_elicit_1.wav
"	11	male	10.663	16000	vnd.wave	bem	bem
100_3	3720376242.jpg	"100_3_02_210929-011803_bem_81c_elicit_1.wav
"	12	male	15.2	16000	vnd.wave	bem	bem
100_4	3720376242.jpg	"100_4_01_210929-011719_bem_72c_elicit_2.wav
"	11	male	17.061	16000	vnd.wave	bem	bem
101_0	1390654687.jpg	"101_0_01_210929-120904_bem_81c_elicit_0.wav
"	11	male	6.307	16000	vnd.wave	bem	bem
101_1	1390654687.jpg	"101_1_02_210929-121242_bem_b21_elicit_0.wav
"	12	male	11.116	16000	vnd.wave	bem	bmb
101_2	1390654687.jpg	"101_2_01_210929-120904_bem_81c_elicit_1.wav
"	11	male	9.256	16000	vnd.wave	bem	bem
101_3	1390654687.jpg	"101_3_02_210929-121242_bem_b21_elicit_1.wav
"	12	male	10.867	16000	vnd.wave	bem	bmb
101_4	1390654687.jpg	"101_4_01_210929-120904_bem_81c_elicit_2.wav
"	11	male	9.823	16000	vnd.wave	bem	bem
102_0	162161519.jpg	"102_0_01_210929-121516_bem_81c_elicit_0.wav
"	11	male	4.378	16000	vnd.wave	bem	bem
102_1	162161519.jpg	"102_1_02_210929-121338_bem_b21_elicit_0.wav
"	12	male	8.144	16000	vnd.wave	bem	bmb
102_2	162161519.jpg	"102_2_01_210929-121516_bem_81c_elicit_1.wav
"	11	male	12.909	16000	vnd.wave	bem	bem
102_3	162161519.jpg	"102_3_02_210929-121338_bem_b21_elicit_1.wav
"	12	male	11.343	16000	vnd.wave	bem	bmb
102_4	162161519.jpg	"102_4_01_210929-121516_bem_81c_elicit_2.wav
"	11	male	8.938	16000	vnd.wave	bem	bem
103_0	50194396.jpg	"103_0_01_210929-121756_bem_81c_elicit_0.wav
"	11	male	4.242	16000	vnd.wave	bem	bem
103_1	50194396.jpg	"103_1_02_210929-121717_bem_b21_elicit_0.wav
"	12	male	13.884	16000	vnd.wave	bem	bmb
103_2	50194396.jpg	"103_2_01_210929-121756_bem_81c_elicit_1.wav
"	11	male	13.408	16000	vnd.wave	bem	bem
103_3	50194396.jpg	"103_3_02_210929-121717_bem_b21_elicit_1.wav
"	12	male	11.366	16000	vnd.wave	bem	bmb
103_4	50194396.jpg	"103_4_01_210929-121756_bem_81c_elicit_2.wav
"	11	male	10.663	16000	vnd.wave	bem	bem
104_0	4958945147.jpg	"104_0_01_210929-122023_bem_81c_elicit_0.wav
"	11	male	8.78	16000	vnd.wave	bem	bem
104_1	4958945147.jpg	"104_1_02_210929-121925_bem_b21_elicit_0.wav
"	12	male	9.369	16000	vnd.wave	bem	bmb
104_2	4958945147.jpg	"104_2_01_210929-122023_bem_81c_elicit_1.wav
"	11	male	12.092	16000	vnd.wave	bem	bem
